,name,percent,category,produce,supply,img_url,580
10,우렁이쌀 청주,14.0%,청주,(유)양촌양조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%AE%E1%84%85%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B5%E1%84%8A%E1%85%A1%E1%86%AF_%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%8C%E1%85%AE.png,
11,한청,15.0%,청주,(주)초가,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8E%E1%85%A5%E1%86%BC.png,
0,33JU 25도,25.0%,기타 주류 스피릿,농업회사법인 33가 주식회사,농업회사법인 33가 주식회사,https://cdn.veluga.kr/files/supplier/251/drinks/24955_Untitled-1.png,
1,매화수,12.0%,기타 주류,하이트진로 국산,하이트진로 국산,https://cdn.veluga.kr/drinks/21472/main/0102d01d27014fe8ab59f1f14de59447_%E1%84%86%E1%85%A2%E1%84%92%E1%85%AA%E1%84%89%E1%85%AE.png,
2,업타운 피나콜라다 750ml,13.9%,기타 주류 칵테일,서던 챔피언,(주) 라온리쿼,https://cdn.veluga.kr/files/supplier/61/drinks/21602_Main_-_UP_TOWM_Pinacolada.png,
3,업타운 마가리타,13.9%,기타 주류 칵테일,서던 챔피언,(주) 라온리쿼,https://cdn.veluga.kr/files/supplier/61/drinks/22314_Main_-_UP_TOWN_Margarita_750ml.png,
4,별빛청하 스파클링,7.0%,기타 주류 칵테일,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/drinks/0/main/d93132ce7e154e9fa5e3c6706d8a8785_PS22042801265.png,
5,아페롤 스프리츠 RTE,9.0%,기타 주류,Aperol Spritz,트랜스베버리지 주식회사,https://cdn.veluga.kr/files/supplier/temporary/drinks/102.%E1%84%90%E1%85%B3%E1%84%85%E1%85%A2%E1%86%AB%E1%84%89%E1%85%B3%E1%84%87%E1%85%A6%E1%84%87%E1%85%A5%E1%84%85%E1%85%B5%E1%84%8C%E1%85%B5_%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1_%E1%84%8B%E1%85%A1%E1%84%91%E1%85%A6%E1%84%85%E1%85%A9%E1%86%AF_%E1%84%89%E1%85%B3%E1%84%91%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B3_RTE.png,
6,다카사고 야마하이 유즈슈,8.0%,기타 주류,후지타카사고주조,(주) 젠니혼주류,https://cdn.veluga.kr/files/supplier/70/drinks/%EC%9C%A0%EC%A6%88%EC%8A%88_TAKASAGO_YUZU_SAKE_1000px.png,
7,노일리프랏,18.0%,기타 주류,코닝스 스피릿 앤 드링크,에프제이코리아,https://cdn.veluga.kr/files/supplier/145/drinks/20615_Main_-_NOILLY_PRAT.png,
8,33JU 18도,18.0%,기타 주류,농업회사법인 33가 주식회사,농업회사법인 33가 주식회사,https://cdn.veluga.kr/files/supplier/251/drinks/20608_20602_33JU.png,
9,즈이센 코슈 40,40.0%,기타 주류,즈이센,(주) 니혼슈코리아,https://cdn.veluga.kr/files/supplier/60/drinks/17528_%E1%84%8C%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A6%E1%86%AB%E1%84%8F%E1%85%A9%E1%84%89%E1%85%B240.png,
10,프라야 골드럼,40.0%,기타 주류,생솜 디스틸러리,메타베브코리아 주식회사,https://cdn.veluga.kr/files/supplier/85/drinks/19039_Main_-__3.png,
11,프라야 엘리먼츠,40.0%,기타 주류,생솜 디스틸러리,메타베브코리아 주식회사,https://cdn.veluga.kr/files/supplier/85/drinks/19038_Main_-__2.png,
12,혼미린 18L,14.0%,기타 주류,단양이화식품,주식회사 가주유통,https://cdn.veluga.kr/files/supplier/62/drinks/17059_HONMIRIN_18L.png,
13,혼미린 1.8L,14.0%,기타 주류,단양이화식품,주식회사 가주유통,https://cdn.veluga.kr/files/supplier/62/drinks/17058_HONMIRIN_1.8L.png,
14,그라벤슈타인 애플와인,6.1%,기타 주류,고완스사이더컴퍼니,원 월드비어코리아,https://cdn.veluga.kr/files/supplier/67/drinks/11799_Gravenstein_Apple_Wine.png,
15,장수하삼,23.0%,기타 주류,농업회사법인 (주)금산인삼주,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/1170_%EC%9E%A5%EC%88%98%ED%95%98%EC%82%BC%20-%20%EB%B6%80%EA%B5%AD%EC%83%81%EC%82%AC.png,
16,부산밤술,25.0%,기타 주류,부산주당,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%87%E1%85%AE%E1%84%89%E1%85%A1%E1%86%AB%E1%84%87%E1%85%A1%E1%86%B7%E1%84%89%E1%85%AE%E1%86%AF_1.png,
17,부산낮술,13.0%,기타 주류,부산주당,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%87%E1%85%AE%E1%84%89%E1%85%A1%E1%86%AB%E1%84%82%E1%85%A1%E1%86%BD%E1%84%89%E1%85%AE%E1%86%AF_1.png,
18,고흥유자주 8도,8.0%,기타 주류,녹동주조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%82%E1%85%A9%E1%86%A8%E1%84%83%E1%85%A9%E1%86%BC%E1%84%8C%E1%85%AE%E1%84%8C%E1%85%A9_%E1%84%80%E1%85%A9%E1%84%8B%E1%85%B2%E1%84%80%E1%85%A9%E1%84%92%E1%85%B3%E1%86%BC%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%A1%E1%84%8C%E1%85%AE_1.png,
19,천년 약속,14.0%,기타 주류,(주)골든블루,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8E%E1%85%A5%E1%86%AB%E1%84%82%E1%85%A7%E1%86%AB%E1%84%8B%E1%85%B4%E1%84%8B%E1%85%A3%E1%86%A8%E1%84%89%E1%85%A9%E1%86%A8_1.png,
20,이상헌 약주 18도,18.0%,기타 주류,농업회사법인 이가수불,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A1%E1%86%BC%E1%84%92%E1%85%A5%E1%86%AB_%E1%84%8B%E1%85%A3%E1%86%A8%E1%84%8C%E1%85%AE_18.png,
21,고흥유자주 12도,12.0%,기타 주류,녹동주조,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A9%E1%84%8B%E1%85%B2_12%E1%84%83%E1%85%A9_1.png,
22,밤꽃향기,13.5%,기타 주류,농업회사법인 (합)사곡양조원,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%87%E1%85%A1%E1%86%B7%E1%84%81%E1%85%A9%E1%86%BE%E1%84%92%E1%85%A3%E1%86%BC%E1%84%80%E1%85%B5_1.png,
23,마주 모시잎 소곡주,16.0%,기타 주류,옥순가 양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%86%E1%85%A1%E1%84%8C%E1%85%AE_%E1%84%86%E1%85%A9%E1%84%89%E1%85%B5%E1%84%8B%E1%85%B5%E1%87%81_%E1%84%89%E1%85%A9%E1%84%80%E1%85%A9%E1%86%A8%E1%84%8C%E1%85%AE_1.png,
24,서주(감자술),13.0%,기타 주류,오대서주양조장,부국상사,https://assets.business.veluga.kr/media/public/%E1%84%80%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%A1%E1%84%89%E1%85%AE%E1%86%AF_1.png,
25,페이셔드 비터,35.0%,기타 주류,엘 이 정 앤 울프 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/39.peychaud.png,
26,몬테쥬마 블루,40.0%,기타 주류,바톤 임포츠,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/38.montezuma_1L_1.png,
27,몬테알반 메즈칼,40.0%,기타 주류,메즈칼 베네바,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/36.Monte_Alban_Mezcal_750ML.png,
28,론 코리나 151 럼,75.5%,기타 주류,시파러 임포트 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/35.RC_Rum_151_prf_1000ml_Glass_WbMYpLG.png,
29,타카 피치,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/34.Taaka_peach.png,
30,타카 케이크,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/33.Taaka_cake.png,
31,타카 체리,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/32.Taaka_cherry.png,
32,타카 파인애플,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/31.Taaka_pineapple.png,
33,타카 그레이프,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/30.Taaka_grape_50ml.png,
34,타카 애플,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/28.taaka_apple_50ml.png,
35,타카 핑크레몬에이드,30.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/26.taaka_pink_lemonade_50ml.png,
36,타카 클래식,40.0%,기타 주류,사제락 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/24.taaka_classic_50ml.png,
37,바톤 진,40.0%,기타 주류,바톤 디스틸링 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/22.BartGin_1L.png,
38,바톤 럼,40.0%,기타 주류,바톤 임포츠,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/20.BartRum_1L.png,
39,바톤 보드카,40.0%,기타 주류,바톤 디스틸링 컴퍼니,(주)비이엑스스피리츠코리아,https://assets.business.veluga.kr/media/public/18.BartVod_50ml.png,
40,엘리트 보드카,40.0%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%97%98%EB%A6%AC%ED%8A%B8_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
41,스톨리치나야 골드 보드카,40.0%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%EA%B3%A8%EB%93%9C_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
42,스톨리치나야 오렌지 보드카,37.5%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%EC%98%A4%EB%A0%8C%EC%A7%80_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
43,스톨리치나야 시트러스 보드카,37.5%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%EC%8B%9C%ED%8A%B8%EB%9F%AC%EC%8A%A4_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
44,스톨리치나야 블루베리 보드카,37.5%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
45,스톨리치나야 솔티드 카라멜 보드카,37.5%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%EC%86%94%ED%8B%B0%EB%93%9C_%EC%B9%B4%EB%9D%BC%EB%A9%9C_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
46,스톨리치나야 큐컴버 보드카,37.5%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%ED%81%90%EC%BB%B4%EB%B2%84_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
47,스톨리치나야 프리미엄 보드카,40.0%,기타 주류,라트비아 발자므스,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%ED%86%A8%EB%A6%AC%EC%B9%98%EB%82%98%EC%95%BC_%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
48,넘버 3 런던 드라이 진,45.0%,기타 주류,베리 브로스 앤 러드,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/BBR_No.3_London_Dry_Gin.png,
49,그랑 패트론 브루데오스,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Gran_Patron_Burdeos.png,
50,그랑 패트론 피에드라,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Gran_Patron_Piedra.png,
51,그랑 패트론 플래티넘,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Gran_Patron_Platinum.png,
52,패트론 아네호,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Anejo.png,
53,패트론 레포사도,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Reposado.png,
54,패트론 실버,40.0%,기타 주류,더 패트론 스피릿 컴퍼니,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Patron_Silver.png,
55,애플톤 21년,43.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Appleton_21YO.png,
56,애플톤 레어 블렌드,43.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Appleton_rare_blend.png,
57,애플톤 시그니쳐 블렌드,40.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Appleton_signature_blend.png,
58,애플톤 화이트,40.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Appleton_White.png,
59,애플톤 스페셜,40.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Appleton_Special.png,
60,불독,40.0%,기타 주류,캄파리 그룹,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Bulldog.png,
61,에스폴론 레포사도,40.0%,기타 주류,니콜라스 증류소,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Nicolas_Reposado.png,
62,에스폴론 블랑코,40.0%,기타 주류,니콜라스 증류소,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/Nicolas_Blanco.png,
63,벨루가 골드,42.0%,기타 주류,마린스키 디스틸러리,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EB%B2%A8%EB%A3%A8%EA%B0%80_%EA%B3%A8%EB%93%9C.png,
64,벨루가 셀러브레이션,41.0%,기타 주류,마린스키 디스틸러리,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EB%B2%A8%EB%A3%A8%EA%B0%80_%EC%85%80%EB%9F%AC%EB%B8%8C%EB%A0%88%EC%9D%B4%EC%85%98.png,
65,벨루가 노블,40.0%,기타 주류,마린스키 디스틸러리,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%E1%84%87%E1%85%A6%E1%86%AF%E1%84%85%E1%85%AE%E1%84%80%E1%85%A1%E1%84%82%E1%85%A9%E1%84%87%E1%85%B3%E1%86%AF.png,
66,스카이 인퓨전 그레이프프룻,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EC%9E%90%EB%AA%BD.png,
67,스카이 인퓨전 파인애플,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%ED%8C%8C%EC%9D%B8%EC%95%A0%ED%94%8C.png,
68,스카이 인퓨전 블루베리,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EB%B8%94%EB%A3%A8%EB%B2%A0%EB%A6%AC.png,
69,스카이 인퓨전 시트러스,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EC%8B%9C%ED%8A%B8%EB%9F%AC%EC%8A%A4.png,
70,스카이 인퓨전 피치,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EB%B3%B5%EC%88%AD%EC%95%84.png,
71,스카이 인퓨전 라즈베리,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EB%9D%BC%EC%A6%88%EB%B2%A0%EB%A6%AC.png,
72,스카이 인퓨전 페어,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EB%B0%B0.png,
73,스카이 인퓨전 스트로우베리,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EB%94%B8%EA%B8%B0.png,
74,스카이 인퓨전 오렌지,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EC%98%A4%EB%A0%8C%EC%A7%80.png,
75,스카이 인퓨전 체리,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EC%B2%B4%EB%A6%AC.png,
76,스카이 인퓨전 애프리코트,35.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4_%EC%9D%B8%ED%93%A8%EC%A0%84_%EC%95%A0%ED%94%84%EB%A6%AC%EC%BD%94%ED%8A%B8.png,
77,스카이 90,45.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/SKYY90.png,
78,스카이 보드카,40.0%,기타 주류,스카이 스피릿,트랜스베버리지 주식회사,https://assets.business.veluga.kr/media/public/%EC%8A%A4%EC%B9%B4%EC%9D%B4_%EB%B3%B4%EB%93%9C%EC%B9%B4.png,
79,그라주 36.5,36.5%,기타 주류,농업법인회사 부안강산명주,부국상사,https://assets.business.veluga.kr/media/public/%EA%B7%B8%EB%9D%BC%EC%A3%BC_36.5.png,
80,그라주 25,25.0%,기타 주류,농업법인회사 부안강산명주,부국상사,https://assets.business.veluga.kr/media/public/%EA%B7%B8%EB%9D%BC%EC%A3%BC_25.png,
81,그라주 17,17.0%,기타 주류,농업법인회사 부안강산명주,부국상사,https://assets.business.veluga.kr/media/public/%EA%B7%B8%EB%9D%BC%EC%A3%BC_17.png,
82,쉐이크베이비쉐이크 라즈베리 모히토,4.0%,기타 주류 칵테일,리프레스코 드링스,인덜지 (주),https://assets.business.veluga.kr/media/public/Global_Brands_Shake_Baby_Shake_Raspberry_Mojito.png,
83,쉐이크베이비쉐이크 패션후르츠 마티니,4.0%,기타 주류 칵테일,리프레스코 드링스,인덜지 (주),https://assets.business.veluga.kr/media/public/Global_Brands_Shake_Baby_Shake_Passion_Fruit_Martini.png,
84,올슉업 하와이안 다이키리,4.0%,기타 주류 칵테일,리프레스코 드링스,인덜지 (주),https://assets.business.veluga.kr/media/public/Global_Brands_All_Shook_Up_Hawaiian_Daiquiri.png,
85,올슉업 패션후르츠 마티니,4.0%,기타 주류 칵테일,리프레스코 드링스,인덜지 (주),https://assets.business.veluga.kr/media/public/Global_Brands_All_Shook_Up_Passion_Fruit_Martini.png,
86,수제약주 별바랑,17.5%,기타 주류,농업회사법인 주식회사 금계당,농업회사법인 주식회사 금계당,https://assets.business.veluga.kr/media/public/%E1%84%87%E1%85%A7%E1%86%AF%E1%84%87%E1%85%A1%E1%84%85%E1%85%A1%E1%86%BC_1eLO1C8.png,
87,카룬 진,41.8%,기타 주류,발메낙 디스틸러리,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/Balmenach_Caorunn_Gin.png,
88,미스터 보스턴 럼,40.0%,기타 주류,미스터 보스턴 컴퍼니,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/Mr._Boston_Rum.png,
89,미스터 보스턴 진,40.0%,기타 주류,미스터 보스턴 컴퍼니,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/Mr._Boston_Gin.png,
90,미스터 보스턴 보드카,40.0%,기타 주류,미스터 보스턴 컴퍼니,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/Mr._Boston_Vodka.png,
91,마틴 밀러스 진,40.0%,기타 주류,리폼드 스피릿 컴퍼니,메타베브코리아 주식회사,https://assets.business.veluga.kr/media/public/Reformed_Martin_Millers_Gin.png,
92,삼양춘 약주,15.0%,기타 주류,송도향전통주조,부국상사,https://assets.business.veluga.kr/media/public/%EC%82%BC%EC%96%91%EC%B6%98_%EC%95%BD%EC%A3%BC.png,
93,이스탄블루 보드카,37.5%,기타 주류,메이 알콜루 익킬라 사나이,별비인터내셔널,https://assets.business.veluga.kr/media/public/lstanblue_Vodka.png,
94,"크리스탈 헤드, 오로라",40.0%,기타 주류,크리스탈 헤드,(주) 빈티지코리아,https://assets.business.veluga.kr/media/public/Crystal_Head_Auruora.png,
95,"크리스탈 헤드, 오리지널",40.0%,기타 주류,크리스탈 헤드,(주) 빈티지코리아,https://assets.business.veluga.kr/media/public/Crystal_Head_Original.png,
96,폴리아코브,37.5%,기타 주류,라 마티니콰스,인덜지 (주),https://assets.business.veluga.kr/media/public/La_Martiniquaise_Poliakov.png,
97,플랜테이션 XO,40.0%,기타 주류,메종 페랑,인덜지 (주),https://assets.business.veluga.kr/media/public/Maison_Ferrand_Plantation_XO.png,
98,플랜테이션 파인애플,40.0%,기타 주류,메종 페랑,인덜지 (주),https://assets.business.veluga.kr/media/public/Maison_Ferrand_Plantation_Pineapple.png,
