,name,percent,category,produce,supply,img_url
17,메로나에이슬,13.0%,리큐르,하이트진로 국산,하이트진로 국산,https://cdn.veluga.kr/files/supplier/228/drinks/37.%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%85%E1%85%A9_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%A1%E1%86%AB_%E1%84%86%E1%85%A6%E1%84%85%E1%85%A9%E1%84%82%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%86%AF.png
18,순하리 복숭아,14.0%,리큐르,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/32.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%89%E1%85%AE%E1%86%AB%E1%84%92%E1%85%A1%E1%84%85%E1%85%B5_%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1.png
19,순하리 사과,14.0%,리큐르,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/31.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%89%E1%85%AE%E1%86%AB%E1%84%92%E1%85%A1%E1%84%85%E1%85%B5_%E1%84%89%E1%85%A1%E1%84%80%E1%85%AA.png
20,순하리 유자,14.0%,리큐르,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/30.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%89%E1%85%AE%E1%86%AB%E1%84%92%E1%85%A1%E1%84%85%E1%85%B5_%E1%84%8B%E1%85%B2%E1%84%8C%E1%85%A1.png
21,아이셔에이슬,13.0%,리큐르,하이트진로 국산,하이트진로 국산,https://cdn.veluga.kr/files/supplier/228/drinks/29.%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%85%E1%85%A9_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%A1%E1%86%AB_%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%89%E1%85%A7%E1%84%8B%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%86%AF.png
22,처음처럼 꿀주,15.0%,리큐르,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/16.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%8E%E1%85%A5%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%8E%E1%85%A5%E1%84%85%E1%85%A5%E1%86%B7_%E1%84%81%E1%85%AE%E1%86%AF%E1%84%8C%E1%85%AE.png
23,처음처럼 빠삐코,12.0%,리큐르,롯데칠성음료,롯데칠성음료 국내부문,https://cdn.veluga.kr/files/supplier/155/drinks/15.%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%8E%E1%85%B5%E1%86%AF%E1%84%89%E1%85%A5%E1%86%BC%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD_%E1%84%8E%E1%85%A5%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%8E%E1%85%A5%E1%84%85%E1%85%A5%E1%86%B7_%E1%84%88%E1%85%A1%E1%84%88%E1%85%B5%E1%84%8F%E1%85%A9.png
24,청포도에이슬,13.0%,리큐르,하이트진로 국산,하이트진로 국산,https://cdn.veluga.kr/files/supplier/228/drinks/13.%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%85%E1%85%A9_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%A1%E1%86%AB_%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%91%E1%85%A9%E1%84%83%E1%85%A9%E1%84%8B%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%86%AF.png
25,자몽에이슬,13.0%,리큐르,하이트진로 국산,하이트진로 국산,https://cdn.veluga.kr/files/supplier/228/drinks/5.%E1%84%92%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%85%E1%85%A9_%E1%84%80%E1%85%AE%E1%86%A8%E1%84%89%E1%85%A1%E1%86%AB_%E1%84%8C%E1%85%A1%E1%84%86%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%86%AF.png
26,그린애플사와,20.0%,리큐르,사쿠라오,(주)월드엘앤에프,https://cdn.veluga.kr/files/supplier/268/drinks/21243_Main_-_Green_Apple_Sour_1.png
27,블루레몬사와,20.0%,리큐르,사쿠라오,(주)월드엘앤에프,https://cdn.veluga.kr/files/supplier/268/drinks/21241_Main_-_Blue_Lemon_Sour_1.png
28,셀렉트,17.5%,리큐르,몬테네그로 에스알엘,메타베브코리아 주식회사,https://cdn.veluga.kr/files/supplier/85/drinks/20566_Main_-_Select.png
29,아마로몬테네그로,23.0%,리큐르,몬테네그로 에스알엘,메타베브코리아 주식회사,https://cdn.veluga.kr/files/supplier/85/drinks/20565_Main_-_Amaro_Montenegro.png
30,행복한상상-초코향,15.0%,리큐르,농업회사법인 (주)영덕주조,부국상사,https://cdn.veluga.kr/files/supplier/42/drinks/19466_Main_-_%E1%84%92%E1%85%A2%E1%86%BC%E1%84%87%E1%85%A9%E1%86%A8%E1%84%92%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A1%E1%86%BC-%E1%84%8E%E1%85%A9%E1%84%8F%E1%85%A9%E1%84%92%E1%85%A3%E1%86%BC.png
31,강소백 리큐르(혼합과일),15.0%,리큐르,중경쟝지디스틸러리 유한회사,한강글로벌 주식회사,https://cdn.veluga.kr/files/supplier/209/drinks/17391_Main_-_%E1%84%80%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A9%E1%84%87%E1%85%A2%E1%86%A8_%E1%84%85%E1%85%B5%E1%84%8F%E1%85%B2%E1%84%85%E1%85%B3%E1%84%92%E1%85%A9%E1%86%AB%E1%84%92%E1%85%A1%E1%86%B8%E1%84%80%E1%85%AA%E1%84%8B%E1%85%B5%E1%86%AF.png
32,강소백 리큐르(포도),15.0%,리큐르,중경쟝지디스틸러리 유한회사,한강글로벌 주식회사,https://cdn.veluga.kr/files/supplier/209/drinks/17390_Main_-_%E1%84%80%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A9%E1%84%87%E1%85%A2%E1%86%A8_%E1%84%85%E1%85%B5%E1%84%8F%E1%85%B2%E1%84%85%E1%85%B3%E1%84%91%E1%85%A9%E1%84%83%E1%85%A9.png
33,강소백 리큐르(매견),12.0%,리큐르,중경쟝지디스틸러리 유한회사,한강글로벌 주식회사,https://cdn.veluga.kr/files/supplier/209/drinks/17378_Main_-_%E1%84%80%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A9%E1%84%87%E1%85%A2%E1%86%A8_%E1%84%85%E1%85%B5%E1%84%8F%E1%85%B2%E1%84%85%E1%85%B3%E1%84%86%E1%85%A2%E1%84%80%E1%85%A7%E1%86%AB.png
34,강소백 리큐르(복숭아),23.0%,리큐르,중경쟝지디스틸러리 유한회사,한강글로벌 주식회사,https://cdn.veluga.kr/files/supplier/209/drinks/21756_Main_-_%E1%84%80%E1%85%A1%E1%86%BC%E1%84%89%E1%85%A9%E1%84%87%E1%85%A2%E1%86%A8_%E1%84%85%E1%85%B5%E1%84%8F%E1%85%B2%E1%84%85%E1%85%B3%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1.png
35,샤르트뢰즈 옐로우,43.0%,리큐르,Chartreuse,서울와인앤스피릿,https://cdn.veluga.kr/files/supplier/undefined/drinks/249.%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%84%85%E1%85%B5%E1%86%BA_%E1%84%89%E1%85%A3%E1%84%85%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%AC%E1%84%8C%E1%85%B3_%E1%84%8B%E1%85%A8%E1%86%AF%E1%84%85%E1%85%A9%E1%84%8B%E1%85%AE.png
36,샤르트뢰즈 그린,55.0%,리큐르,Chartreuse,서울와인앤스피릿,https://cdn.veluga.kr/files/supplier/undefined/drinks/248.%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%A2%E1%86%AB%E1%84%89%E1%85%B3%E1%84%91%E1%85%B5%E1%84%85%E1%85%B5%E1%86%BA_%E1%84%89%E1%85%A3%E1%84%85%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%AC%E1%84%8C%E1%85%B3_%E1%84%80%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB.png
37,디카이퍼 카페,20.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/10._%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6.png
38,디카이퍼 아마레또,30.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/9._%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A1%E1%84%85%E1%85%A6%E1%84%84%E1%85%A9.png
39,피치트리,20.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/213.%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%91%E1%85%B5%E1%84%8E%E1%85%B5%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5.png
40,티아 마리아,20.0%,리큐르,ILLVA SARONNO S.P.A,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/212.%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%90%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%86%E1%85%A1%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1.png
41,콰이페 리치 리큐르,20.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/211.%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%8F%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A6_%E1%84%85%E1%85%B5%E1%84%8E%E1%85%B5_%E1%84%85%E1%85%B5%E1%84%8F%E1%85%B2%E1%84%85%E1%85%B3.png
42,체리히어링,24.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/209.%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%8E%E1%85%A6%E1%84%85%E1%85%B5%E1%84%92%E1%85%B5%E1%84%8B%E1%85%A5%E1%84%85%E1%85%B5%E1%86%BC.png
43,예거마이스터,35.0%,리큐르,MAST-JAGERMEISTER SE,에프제이코리아,https://cdn.veluga.kr/files/supplier/145/drinks/20398_Main_-_Jagermeister.png
44,애플퍼커,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/207._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%8B%E1%85%A2%E1%84%91%E1%85%B3%E1%86%AF%E1%84%91%E1%85%A5%E1%84%8F%E1%85%A5.png
45,생 제르맹,20.0%,리큐르,MARTINI & ROSSI S.P.A.,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/205.%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%89%E1%85%A2%E1%86%BC_%E1%84%8C%E1%85%A6%E1%84%85%E1%85%B3%E1%84%86%E1%85%A2%E1%86%BC.png
46,베네딕틴 돔,40.0%,리큐르,MARTINI & ROSSI S.P.A.,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/201._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%87%E1%85%A6%E1%84%82%E1%85%A6%E1%84%83%E1%85%B5%E1%86%A8%E1%84%90%E1%85%B5%E1%86%AB_%E1%84%83%E1%85%A9%E1%86%B7_6.png
47,디카이퍼 트리플섹,40.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/195._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%90%E1%85%B3%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%89%E1%85%A6%E1%86%A8.png
48,디카이퍼 큐라소 블루,20.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/194._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8F%E1%85%B2%E1%84%85%E1%85%A1%E1%84%89%E1%85%A9_%E1%84%87%E1%85%B3%E1%86%AF%E1%84%85%E1%85%AE.png
49,디카이퍼 카카오 화이트,24.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/193._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8F%E1%85%A1%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%A9_%E1%84%92%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3.png
50,디카이퍼 카카오 다크,20.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/192._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8F%E1%85%A1%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%A9_%E1%84%83%E1%85%A1%E1%84%8F%E1%85%B3.png
51,디카이퍼 카시스,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/191._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8F%E1%85%A1%E1%84%89%E1%85%B5%E1%84%89%E1%85%B3.png
52,디카이퍼 체리,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/190._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8E%E1%85%A6%E1%84%85%E1%85%B5.png
53,디카이퍼 워터메론,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/189._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8B%E1%85%AF%E1%84%90%E1%85%A5%E1%84%86%E1%85%A6%E1%84%85%E1%85%A9%E1%86%AB.png
54,디카이퍼 와일드 스트로베리,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/188._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%83%E1%85%B3_%E1%84%89%E1%85%B3%E1%84%90%E1%85%B3%E1%84%85%E1%85%A9%E1%84%87%E1%85%A6%E1%84%85%E1%85%B5.png
55,디카이퍼 엘더플라워,15.0%,리큐르,DE KUYPER ROYAL DISTILLERS,에프제이코리아,https://cdn.veluga.kr/files/supplier/undefined/drinks/187._%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%A8%E1%84%92%E1%85%AC%E1%84%89%E1%85%A1%E1%84%8B%E1%85%A6%E1%84%91%E1%85%B3%E1%84%8C%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A9%E1%84%85%E1%85%B5%E1%84%8B%E1%85%A1_%E1%84%83%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%91%E1%85%A5_%E1%84%8B%E1%85%A6%E1%86%AF%E1%84%83%E1%85%A5%E1%84%91%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A1%E1%84%8B%E1%85%AF.png
